adresse,pris,ejerudgift,meter
" Bag Elefanterne 27, 2. mf., Fristrup Hus, Carlsberg Byen",3350000,2559,62
" Bryggernes Plads 20, 4.  nr. 2, Caroline Hus, Carlsberg Byen",3395000,2378,55
 Flaskegade 11  3. 4.,3395000,2740,67
" Paulas Passage 3, 13.  nr. 3, Dahlerups Tårn, Carlsberg Byen",3445000,2306,53
" J.C. Jacobsens Gade 15, 5. mf., Caroline Hus, Carlsberg Byen",3445000,2186,50
" Fadet 29, 4. tv., Carlsberg Byen, Mineralvandshuset",3495000,2456,65
" Bag Elefanterne 27, st. tv., Fristrup Hus, Carlsberg Byen",3495000,2661,64
 Flaskegade 11  3. 3.,3495000,2437,68
" Bryggernes Plads 20, 1.  nr. 1, Caroline Hus, Carlsberg Byen",3595000,3125,79
" Bryggernes Plads 20, 5.  nr. 2, Caroline Hus, Carlsberg Byen",3595000,2437,55
" Bag Elefanterne 27, 1. tv., Fristrup Hus, Carlsberg Byen",3595000,2996,74
" Paulas Passage 3, 17.  nr. 3, Dahlerups Tårn, Carlsberg Byen",3645000,2373,53
" Paulas Passage 3, 18.  nr. 3, Dahlerups Tårn, Carlsberg Byen",3695000,2390,53
" Paulas Passage 3, 4.  nr. 3, Dahlerups Tårn, Carlsberg Byen ]",3745000,2407,53
"[ Paulas Passage 3, 4.  nr. 4, Dahlerups Tårn, Carlsberg Byen",3745000,2407,53
" Bryggernes Plads 20, 2.  nr. 1, Caroline Hus, Carlsberg Byen",3745000,3175,79
" Johanne Møllers Passage 13, 1. tv., Caroline Hus, Carlsberg Byen",3845000,3229,82
" Bryggernes Plads 20, 3.  nr. 1, Caroline Hus, Carlsberg Byen",3895000,3217,79
" Bryggernes Plads 20, 4.  nr. 1, Caroline Hus, Carlsberg Byen",4045000,3267,79
" Constantin Hansens Gade 25, 6.  nr. 2, Tuxens Tårn, Carlsberg Byen",4195000,3232,82
" Johanne Møllers Passage 13, 3. tv., Caroline Hus, Carlsberg Byen",4245000,3370,82
" Vesterfælledvej 66E, 5.",4250000,3864,66
" Kildepladsen 18, 1.  nr. 4, Djørup Hus, Carlsberg Byen",4250000,3326,75
" Paulas Passage 3, 5.  nr. 5, Dahlerups Tårn, Carlsberg Byen",4295000,3383,80
" Bryggernes Plads 20, 1.  nr. 3, Caroline Hus, Carlsberg Byen",4295000,3571,87
" Paulas Passage 3, 5.  nr. 2, Dahlerups Tårn, Carlsberg Byen",4345000,3400,80
" Kildepladsen 18, 2.  nr. 4, Djørup Hus, Carlsberg Byen",4350000,3359,75
" Johanne Møllers Passage 13, 4. tv., Caroline Hus, Carlsberg Byen",4445000,3429,82
" Paulas Passage 3, 8.  nr. 2, Dahlerups Tårn, Carlsberg Byen",4495000,3450,80
" Paulas Passage 3, 9.  nr. 4, Dahlerups Tårn, Carlsberg Byen",4495000,3450,80
" Malttorvet 22, 3. th., Brygmester Hus, Carlsberg Byen",4495000,3252,62
" Kildepladsen 14, 1.  nr. 1, Djørup Hus, Carlsberg Byen",4495000,3873,89
" Paulas Passage 2, 1. th.",4495000,3470,82
 Vesterfælledvej 66C  1. th.,4495000,4091,84
" Bag Elefanterne 29, st. th., Fristrup Hus, Carlsberg Byen",4495000,3581,85
" Fadet 3, 5. th., Carlsberg Byen, Mineralvandshuset",4595000,3072,73
" Bag Elefanterne 25, 1. tv., Fristrup Hus, Carlsberg Byen",4595000,3494,75
" Kildepladsen 18, 1.  nr. 3, Djørup Hus, Carlsberg Byen",4595000,4052,94
" Kildepladsen 14, 2.  nr. 1, Djørup Hus, Carlsberg Byen",4595000,3898,89
" Bag Elefanterne 29, 1. th., Fristrup Hus, Carlsberg Byen",4595000,3524,82
" Bag Elefanterne 29, 1. tv., Fristrup Hus, Carlsberg Byen",4595000,3524,82
" Paulas Passage 3, 4.  nr. 6, Dahlerups Tårn, Carlsberg Byen",4695000,3899,93
" Paulas Passage 3, 13.  nr. 4, Dahlerups Tårn, Carlsberg Byen",4695000,3509,80
" Bag Elefanterne 25, 1. th., Fristrup Hus, Carlsberg Byen",4695000,3700,81
" Bag Elefanterne 25, 2. tv., Fristrup Hus, Carlsberg Byen",4695000,3519,75
" Kildepladsen 18, 2.  nr. 3, Djørup Hus, Carlsberg Byen",4695000,4086,94
" Bag Elefanterne 29, 2. th., Fristrup Hus, Carlsberg Byen",4695000,3549,82
" Bag Elefanterne 29, 2. tv., Fristrup Hus, Carlsberg Byen",4695000,3549,82
" Constantin Hansens Gade 25, 7.  nr. 2, Tuxens Tårn, Carlsberg Byen",4695000,3390,82
" Paulas Passage 3, 5.  nr. 6, Dahlerups Tårn, Carlsberg Byen",4745000,3915,93
" J.C. Jacobsens Gade 15, 2. th., Caroline Hus, Carlsberg Byen",4745000,3885,95
" J.C. Jacobsens Gade 15, 1. tv., Caroline Hus, Carlsberg Byen",4745000,4172,105
" Bryggernes Plads 20, 3.  nr. 3, Caroline Hus, Carlsberg Byen",4745000,3713,87
" J.C. Jacobsens Gade 15, 2. tv., Caroline Hus, Carlsberg Byen",4745000,3885,95
" Bag Elefanterne 25, st. th., Fristrup Hus, Carlsberg Byen",4750000,3635,78
" Bag Elefanterne 27, 4. th., Fristrup Hus, Carlsberg Byen",4750000,3394,75
" Bag Elefanterne 31, st., Fristrup Hus, Carlsberg Byen",4750000,3966,91
