date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-05 15:02:54,Skotkjerra,,0,1,5,"Reliable and correct information about the Corona virus situation needs to be readable, understandable and accessible. As web professionals, let us help where we can #a11y",,,#a11y,1235581557865410560,https://twitter.com/Skotkjerra/status/1235581557865410560
2020-03-05 14:45:49,Gnagsen,Fee2themax,2,1,14,"Alle børnene løb rundt på legepladsen. Bortset fra Fiona, hun var smittet med Corona.",,,,1235577258921738240,https://twitter.com/Gnagsen/status/1235577258921738240
2020-03-05 14:43:35,Fee2themax,AbdelsTweet,1,0,0,"Der er ikke noget der rimer på Corona",,,,1235576698336202753,https://twitter.com/Fee2themax/status/1235576698336202753
2020-03-05 14:35:33,TV2Nord,,0,0,0,"Trods corona-karantæne til modstandere: AaB-kamp ikke i fare http://dlvr.it/RRJMXc",,,,1235574676895625219,https://twitter.com/TV2Nord/status/1235574676895625219
2020-03-05 14:35:24,silkeborgnyt,,0,0,0,"Tidligere SIF-spiller i corona-karantæne ",,,,1235574638882828294,https://twitter.com/silkeborgnyt/status/1235574638882828294
2020-03-05 14:25:10,NORDJYSKEsport,,0,0,0,"Tre Lyngby-spillere i corona-karantæne før AaB-kamp ",,,,1235572062040870914,https://twitter.com/NORDJYSKEsport/status/1235572062040870914
2020-03-05 14:01:08,vafodk,,0,0,0,"Corona-karantæne rammer plejeområdet: Flere ansatte i Vejle Kommune skal blive derhjemme #vaf",,,#vaf,1235566017222512640,https://twitter.com/vafodk/status/1235566017222512640
2020-03-05 13:55:43,EriksenKlaus,,0,0,0,"Interessant sted at holde camping-ferie: Corona Camping. #coronavirus #covid19",,,#coronavirus #covid19,1235564650990669825,https://twitter.com/EriksenKlaus/status/1235564650990669825
2020-03-05 13:39:40,ThomasSkov79,R4nd4hl,2,0,0,"Jeg er helt enig med dig i at Corona ikke er farligere end en alm influenza og at vi burde slappe af med dommedags scenarierne. Men den slår stadig folk ihjel, så måske man skulle holde sig fra at joke omkring det?",,,,1235560611926274049,https://twitter.com/ThomasSkov79/status/1235560611926274049
2020-03-05 13:35:19,Kristianp9320,,2,1,1,"Thomas Kahlenberg smittet med Corona. Var på Brøndby Stadion søndag, hvorfor 13 mand nu er i karantæne. Ni i administrationen inkl. Ole Palmå. Fire i den sportslige sektor; Joel Kabongo, Martin Retov, analytiker Jimmy Brinksby og sportspsykolog Christian Engell #sldk",,,#sldk,1235559520241414144,https://twitter.com/Kristianp9320/status/1235559520241414144
2020-03-05 13:22:26,NORDJYSKEsport,,0,0,0,"Nordjysk OL-deltager i Corona-karantæne ",,,,1235556277855686656,https://twitter.com/NORDJYSKEsport/status/1235556277855686656
2020-03-05 12:58:05,lassekjaer,LarsBoThomsen,0,0,0,"Helt sikkert. Der har længe været en tendens, til at bruge flere penge på oplevelser i sit nærmiljø. Klimakrise og corona, kan helt sikkert skubbe på i samme retning.",,,,1235550147347533824,https://twitter.com/lassekjaer/status/1235550147347533824
